bookID,title,email,url
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),jbutt@gmail.com,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),josephine_darakjy@darakjy.org,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),art@venere.org,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),lpaprocki@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),donette.foller@cox.net,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",simona@morasca.com,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg
10,Harry Potter Collection (Harry Potter  #1-6),mitsue_tollner@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),leota@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),sage_wieser@cox.net,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),kris@gmail.com,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),minna_amigon@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),amaclead@gmail.com,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg
21,A Short History of Nearly Everything,kiley.caldarera@aol.com,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
22,Bill Bryson's African Diary,gruta@cox.net,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,calbares@gmail.com,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg
24,In a Sunburned Country,mattie@aol.com,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,meaghan@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg
26,The Lost Continent: Travels in Small Town America,gladys.rim@rim.org,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg
27,Neither Here nor There: Travels in Europe,yuki_whobrey@aol.com,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg
28,Notes from a Small Island,fletcher.flosi@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg
29,The Mother Tongue: English and How It Got That Way,bette_nicka@cox.net,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,vinouye@aol.com,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg
31,The Lord of the Rings (The Lord of the Rings  #1-3),willard@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg
34,The Fellowship of the Ring (The Lord of the Rings  #1),mroyster@royster.com,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
35,The Lord of the Rings (The Lord of the Rings  #1-3),alisha@slusarski.com,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg
36,The Lord of the Rings: Weapons and Warfare,allene_iturbide@cox.net,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg
37,The Lord of the Rings: Complete Visual Companion,chanel.caudy@caudy.org,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg
45,Agile Web Development with Rails: A Pragmatic Guide,ezekiel@chui.com,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg
50,Hatchet (Brian's Saga  #1),wkusko@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",bfigeroa@aol.com,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg
53,Guts: The True Stories behind Hatchet and the Brian Books,ammie@corrio.com,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
54,Molly Hatchet - 5 of the Best,francine_vocelka@vocelka.com,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg
55,Hatchet Jobs: Writings on Contemporary Fiction,ernie_stenseth@aol.com,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg
57,A Changeling for All Seasons (Changeling Seasons #1),albina@glick.com,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
58,Changeling (Changeling  #1),asergi@gmail.com,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg
59,The Changeling Sea,solange@shinko.com,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
61,The Changeling,jose@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg
63,The Changeling,rozella.ostrosky@ostrosky.com,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg
66,The Changeling (Daughters of England  #15),valentine_gillian@gmail.com,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg
67,The Known World,kati.rulapaugh@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg
68,The Known World,youlanda@aol.com,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg
69,The Known World,doldroyd@aol.com,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,roxane@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
72,Artesia: Adventures in the Known World,lperin@perin.org,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg
74,The John McPhee Reader (John McPhee Reader  #1),erick.ferencz@aol.com,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg
75,Uncommon Carriers,fsaylors@saylors.org,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg
76,Heirs of General Practice,jina_briddick@briddick.com,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg
77,The Control of Nature,kanisha_waycott@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg
78,Annals of the Former World,emerson.bowley@bowley.org,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg
79,Coming Into the Country,bmalet@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg
80,La Place de la Concorde Suisse,bbolognia@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg
81,Giving Good Weight,lnestle@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg
83,Rising from the Plains,sabra@uyetake.org,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg
85,The Heidi Chronicles,mmastella@mastella.com,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,karl_klonowski@yahoo.com,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,twenner@aol.com,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg
90,Simply Beautiful Beaded Jewelry,amber_monarrez@monarrez.org,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,shenika@gmail.com,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,delmy.ahle@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg
93,Heidi (Heidi  #1-2),deeanna_juhas@gmail.com,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg
94,Getting Results with Curriculum Mapping,bpugh@aol.com,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg
96,There's Always Enough: The Miraculous Move of God in Mozambique,jamal@vanausdal.org,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg
98,What to Expect the First Year (What to Expect),cecily@hollack.org,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,carmelina_lindall@lindall.com,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg
100,Simply Beautiful Beading: 53 Quick and Easy Projects,maurine_yglesias@yglesias.com,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg
103,God Emperor of Dune (Dune Chronicles  #4),tawna@gmail.com,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg
105,Chapterhouse: Dune (Dune Chronicles #6),penney_weight@aol.com,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg
106,Dune Messiah (Dune Chronicles #2),elly_morocco@gmail.com,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg
107,Dreamer of Dune: The Biography of Frank Herbert,ilene.eroman@hotmail.com,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg
109,Heretics of Dune (Dune Chronicles  #5),vmondella@mondella.com,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg
110,The Road to Dune,kallie.blackwood@gmail.com,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg
